ds,yhat,yhat_lower,yhat_upper
2025-08-07 00:00:00,377.7483747396392,272.76319373476514,486.88396374556703
2025-08-07 01:00:00,377.48905476067137,277.7690284206571,490.7129378120854
2025-08-07 02:00:00,390.7533810149515,280.7800580970551,499.90471517137917
2025-08-07 03:00:00,397.2153337022155,286.36092909866835,497.5037753621705
2025-08-07 04:00:00,368.882405490702,267.8250161338512,479.88146311892945
2025-08-07 05:00:00,302.07999079983233,190.6315933470179,416.2855249863718
2025-08-07 06:00:00,232.02539619850887,121.80609313550849,335.6106711378089
2025-08-07 07:00:00,211.05616872627712,107.51285948960293,313.00582552380274
2025-08-07 08:00:00,266.25767545436986,166.36357684848377,362.9558875760955
2025-08-07 09:00:00,374.1773728754951,265.86873225871176,489.37031828657564
2025-08-07 10:00:00,476.9363693383317,366.4490943702772,585.4901349665241
2025-08-07 11:00:00,526.8085739183208,411.9596461589018,645.7470842873768
2025-08-07 12:00:00,520.3315738433306,412.08165403395606,624.4944896319392
2025-08-07 13:00:00,493.0619454230167,383.48123489305476,597.67417990323
2025-08-07 14:00:00,482.5411155523054,376.59995663491713,588.5560623639382
2025-08-07 15:00:00,495.15190323809554,388.73365803845263,611.5946762259257
2025-08-07 16:00:00,506.2223725480709,391.425503389848,613.51870563647
2025-08-07 17:00:00,489.4737861296744,382.7110673213786,599.2592634349063
2025-08-07 18:00:00,444.6874630417612,334.6718945103571,552.7230483263799
2025-08-07 19:00:00,396.99797300367686,287.0384965926572,506.802519842954
2025-08-07 20:00:00,371.19932299624134,261.69535332093074,473.1126910192577
2025-08-07 21:00:00,368.93284083648007,259.84697883001434,484.17575033663917
2025-08-07 22:00:00,371.5431327843848,267.25537134289067,484.1380185774073
2025-08-07 23:00:00,363.3406565797574,254.63455643214314,470.94806666288895
